Warehouse_block,Warehouse_city,Mode_of_Shipment,Name of charged warehouse's employee,LOADING_DATE,DELIVERED_TO_WAREHOUSE_DATE
Warehouse D,New York,Ship,Darcy Obrien,08/01/2021,05/02/2021
Warehouse F,San Jose,Ship,Taha Blankenship,21/08/2021,18/09/2021
Warehouse A,Birmingham,Ship,Elijah Li,04/04/2021,02/05/2021
Warehouse B,San Jose,Ship,Corey Little,08/04/2021,06/05/2021
Warehouse C,Boston,Ship,Keelan Turner,11/04/2021,09/05/2021
Warehouse F,San Jose,Ship,Cory Trevino,19/07/2021,16/08/2021
Warehouse D,New York,Ship,Rory Diaz,27/04/2021,25/05/2021
Warehouse F,San Jose,Ship,Willow Schultz,10/02/2021,10/03/2021
Warehouse A,Birmingham,Ship,Nevaeh Parks,04/04/2021,02/05/2021
Warehouse B,San Jose,Ship,Jenna Woodward,03/01/2019,31/01/2019
Warehouse C,Boston,Ship,Kaden O'Ryan,21/04/2021,19/05/2021
Warehouse F,San Jose,Ship,Sion Leon,04/03/2021,01/04/2021
Warehouse D,New York,Ship,Bryn Hebert,21/03/2021,18/04/2021
Warehouse F,San Jose,Ship,Claudia Mathis,09/11/2019,07/12/2019
Warehouse A,Birmingham,Ship,Julia Pham,14/03/2021,11/04/2021
Warehouse B,San Jose,Ship,Kelly Holder,04/04/2021,02/05/2021
Warehouse C,Boston,Ship,Whitney Cantrell,17/01/2021,14/02/2021
Warehouse F,San Jose,Ship,Jaden Richardson,31/01/2021,28/02/2021
Warehouse D,New York,Road,Esme Gomez,17/03/2021,14/04/2021
Warehouse F,San Jose,Road,Nana Burton,16/03/2021,13/04/2021
Warehouse A,Birmingham,Road,Devon Hale,20/03/2021,17/04/2021
Warehouse B,San Jose,Road,Darcey Elliott,27/03/2021,24/04/2021
Warehouse C,Boston,Road,Rio Harmon,26/04/2021,24/05/2021
Warehouse F,San Jose,Road,Terry Willis,04/12/2020,01/01/2021
Warehouse D,New York,Road,Finnley Krueger,04/04/2021,02/05/2021
Warehouse F,San Jose,Road,Luna Walton,10/07/2021,07/08/2021
Warehouse A,Birmingham,Road,Jerry Trujillo,04/04/2021,02/05/2021
Warehouse B,San Jose,Road,Alfie Grimes,05/06/2021,03/07/2021
Warehouse C,Boston,Road,Jaime Austin,28/03/2021,25/04/2021
Warehouse F,San Jose,Road,Gabriel Gillespie,13/02/2021,13/03/2021
Warehouse D,New York,Road,Tyrell Maddox,10/07/2021,07/08/2021
Warehouse F,San Jose,Road,Benedict Knight,21/02/2021,21/03/2021
Warehouse A,Birmingham,Road,Felix Olson,10/07/2021,07/08/2021
Warehouse B,San Jose,Road,Eliot Clements,29/10/2020,26/11/2020
Warehouse C,Boston,Road,Dillan Maldonado,10/11/2019,08/12/2019
Warehouse F,San Jose,Road,Aoife Gill,14/04/2021,12/05/2021
Warehouse D,New York,Road,Luna Andersen,26/03/2021,23/04/2021
Warehouse F,San Jose,Road,Ollie Ward,15/04/2021,13/05/2021
Warehouse A,Birmingham,Road,Robyn Joyce,15/04/2021,13/05/2021
Warehouse B,San Jose,Road,Willow Potter,13/03/2021,10/04/2021
Warehouse C,Boston,Air,Saba Carlson,02/01/2021,30/01/2021
Warehouse F,San Jose,Air,Asa Fleming,06/11/2019,04/12/2019
Warehouse D,New York,Air,Faith Gibbons,13/04/2021,11/05/2021
Warehouse F,San Jose,Air,Rayhan Meza,20/03/2021,17/04/2021
Warehouse A,Birmingham,Air,Riley Bennett,01/04/2021,29/04/2021
Warehouse B,San Jose,Air,Trinity Graves,30/11/2019,28/12/2019
Warehouse C,Boston,Air,Wyatt Norman,04/04/2021,02/05/2021
Warehouse F,San Jose,Air,Anika Rollins,05/05/2019,02/06/2019
Warehouse D,New York,Air,Jerry Blankenship,04/04/2021,02/05/2021
Warehouse F,San Jose,Air,Tia Waters,11/04/2021,09/05/2021
Warehouse A,Birmingham,Air,Gabriel French,20/01/2021,17/02/2021
Warehouse B,San Jose,Air,Neo Higgins,12/04/2021,10/05/2021
Warehouse C,Boston,Air,Kieran Phelps,24/08/2020,21/09/2020
Warehouse F,San Jose,Air,Violet Hanson,18/04/2020,16/05/2020
Warehouse D,New York,Air,Brodie Wilkerson,09/04/2021,07/05/2021
Warehouse F,San Jose,Air,Kira Gentry,09/05/2021,06/06/2021
Warehouse A,Birmingham,Air,Laurie Luna,08/01/2021,05/02/2021
Warehouse B,San Jose,Air,Bobby Macias,05/08/2021,02/09/2021
Warehouse C,Boston,Air,Jaime Moore,04/04/2021,02/05/2021
Warehouse F,San Jose,Air,Kelly Vaughn,06/04/2021,04/05/2021
Warehouse D,New York,Air,Sami Allison,26/04/2021,24/05/2021
Warehouse F,San Jose,Air,Joel Daniels,12/03/2021,09/04/2021
Warehouse A,Birmingham,Ship,Robin Mckay,16/02/2021,16/03/2021
Warehouse B,San Jose,Ship,Cameron Pearson,22/11/2020,20/12/2020
Warehouse C,Boston,Ship,Juliet Torres,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Cordelia Irwin,01/04/2021,29/04/2021
Warehouse D,New York,Ship,Sidney Ware,08/04/2021,06/05/2021
Warehouse F,San Jose,Ship,Stella Velazquez,06/02/2021,06/03/2021
Warehouse A,Birmingham,Ship,Siobhan Saunders,08/05/2021,05/06/2021
Warehouse B,San Jose,Ship,Jaya Miles,10/07/2021,07/08/2021
Warehouse C,Boston,Ship,Sana Gross,14/05/2021,11/06/2021
Warehouse F,San Jose,Ship,Nevaeh Mora,14/05/2021,11/06/2021
Warehouse D,New York,Ship,Jude Alvarado,17/04/2021,15/05/2021
Warehouse F,San Jose,Ship,Kacie Cherry,30/05/2021,27/06/2021
Warehouse A,Birmingham,Ship,Eliza Bartlett,02/07/2021,30/07/2021
Warehouse B,San Jose,Ship,Courtney Robles,18/05/2021,15/06/2021
Warehouse C,Boston,Ship,Ali Huber,27/06/2021,25/07/2021
Warehouse F,San Jose,Ship,Keelan Warren,05/04/2021,03/05/2021
Warehouse D,New York,Ship,Ellis Simmons,09/01/2021,06/02/2021
Warehouse F,San Jose,Ship,Maddison Ibarra,11/04/2021,09/05/2021
Warehouse A,Birmingham,Ship,Ines Watkins,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Virginia Munoz,16/04/2021,14/05/2021
Warehouse C,Boston,Ship,Jessie Acevedo,09/05/2021,06/06/2021
Warehouse F,San Jose,Ship,Terry Hardy,09/06/2021,07/07/2021
Warehouse D,New York,Ship,Jenna Cervantes,10/04/2021,08/05/2021
Warehouse F,San Jose,Ship,Brogan Wood,16/04/2021,14/05/2021
Warehouse A,Birmingham,Ship,Mina Rogers,18/02/2021,18/03/2021
Warehouse B,San Jose,Ship,Shelby Norton,25/05/2021,22/06/2021
Warehouse C,Boston,Ship,Kasey Horn,02/08/2021,30/08/2021
Warehouse F,San Jose,Ship,Haydn Tran,23/11/2020,21/12/2020
Warehouse D,New York,Ship,Ashley Davidson,17/05/2021,14/06/2021
Warehouse F,San Jose,Ship,Lexi Washington,23/05/2021,20/06/2021
Warehouse A,Birmingham,Ship,Georgie Schneider,17/04/2021,15/05/2021
Warehouse B,San Jose,Ship,Sara Savage,24/05/2021,21/06/2021
Warehouse C,Boston,Ship,Ciaran Garcia,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Cai Beltran,10/07/2021,07/08/2021
Warehouse D,New York,Ship,Sion Carpenter,24/04/2021,22/05/2021
Warehouse F,San Jose,Ship,Syed Briggs,06/05/2021,03/06/2021
Warehouse A,Birmingham,Ship,Erin Aguilar,08/02/2021,08/03/2021
Warehouse B,San Jose,Ship,Harmony Shelton,25/06/2021,23/07/2021
Warehouse C,Boston,Ship,Nora Sears,16/05/2021,13/06/2021
Warehouse F,San Jose,Ship,Aston Mejia,09/04/2021,07/05/2021
Warehouse D,New York,Ship,Jean Jacobs,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Taha Wilkins,05/05/2021,02/06/2021
Warehouse A,Birmingham,Ship,Milan Cross,05/07/2021,02/08/2021
Warehouse B,San Jose,Ship,Verity Hendricks,26/04/2021,24/05/2021
Warehouse C,Boston,Ship,Leslie Ryan,09/04/2021,07/05/2021
Warehouse F,San Jose,Ship,Nana Sosa,07/06/2019,05/07/2019
Warehouse D,New York,Ship,Angel Horne,26/07/2021,23/08/2021
Warehouse F,San Jose,Ship,Seren Abbott,21/08/2021,18/09/2021
Warehouse A,Birmingham,Ship,Anita Bradshaw,16/12/2020,13/01/2021
Warehouse B,San Jose,Ship,Sian Sandoval,17/04/2021,15/05/2021
Warehouse C,Boston,Ship,Tanya George,15/05/2021,12/06/2021
Warehouse F,San Jose,Ship,Pearl Ford,30/08/2021,27/09/2021
Warehouse D,New York,Ship,Jay Nichols,11/04/2021,09/05/2021
Warehouse F,San Jose,Ship,Mae Villanueva,14/06/2021,12/07/2021
Warehouse A,Birmingham,Ship,Elisha Hayes,27/05/2021,24/06/2021
Warehouse B,San Jose,Ship,Claire Gallegos,16/05/2021,13/06/2021
Warehouse C,Boston,Ship,Zain Green,03/05/2021,31/05/2021
Warehouse F,San Jose,Ship,Jan Mcmahon,11/07/2021,08/08/2021
Warehouse D,New York,Ship,Sienna Welsh,04/07/2021,01/08/2021
Warehouse F,San Jose,Ship,Rebekah Benson,02/05/2021,30/05/2021
Warehouse A,Birmingham,Ship,Ronnie Morales,30/07/2021,27/08/2021
Warehouse B,San Jose,Ship,Andrea Harrison,27/04/2021,25/05/2021
Warehouse C,Boston,Ship,Kristen Hansen,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Mason Harmon,04/07/2021,01/08/2021
Warehouse D,New York,Ship,Raja Hurst,28/06/2021,26/07/2021
Warehouse F,San Jose,Ship,Billy England,16/05/2021,13/06/2021
Warehouse A,Birmingham,Ship,Ebony Leon,04/07/2021,01/08/2021
Warehouse B,San Jose,Ship,Devon Hutchinson,03/05/2021,31/05/2021
Warehouse C,Boston,Ship,Aidan Gray,19/05/2021,16/06/2021
Warehouse F,San Jose,Ship,Lennon Fuller,10/07/2021,07/08/2021
Warehouse D,New York,Ship,Jaydon Logan,05/05/2021,02/06/2021
Warehouse F,San Jose,Ship,Kobi Fowler,24/07/2021,21/08/2021
Warehouse A,Birmingham,Ship,Ciaran Ellis,27/05/2021,24/06/2021
Warehouse B,San Jose,Ship,Kelsey Wall,25/06/2021,23/07/2021
Warehouse C,Boston,Ship,Keziah Harper,02/06/2021,30/06/2021
Warehouse F,San Jose,Ship,Carter Ortega,13/04/2021,11/05/2021
Warehouse D,New York,Ship,Joel Joyce,27/05/2021,24/06/2021
Warehouse F,San Jose,Ship,Kyan Fields,21/04/2021,19/05/2021
Warehouse A,Birmingham,Ship,Jean Mccoy,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Armaan Kane,29/06/2021,27/07/2021
Warehouse C,Boston,Ship,Mckenzie Hobbs,18/06/2021,16/07/2021
Warehouse F,San Jose,Ship,Felix Snow,13/06/2021,11/07/2021
Warehouse D,New York,Ship,Kira Burgess,25/03/2020,22/04/2020
Warehouse F,San Jose,Ship,Kobi Gentry,19/06/2021,17/07/2021
Warehouse A,Birmingham,Ship,Katerina Buck,18/05/2021,15/06/2021
Warehouse B,San Jose,Ship,Macy Norris,10/07/2021,07/08/2021
Warehouse C,Boston,Ship,Cordelia Young,27/07/2021,24/08/2021
Warehouse F,San Jose,Ship,Bailey Morrison,11/05/2021,08/06/2021
Warehouse D,New York,Ship,Jorge Vincent,27/04/2021,25/05/2021
Warehouse F,San Jose,Ship,Syed Gonzales,26/04/2021,24/05/2021
Warehouse A,Birmingham,Ship,Aiden Haas,23/05/2021,20/06/2021
Warehouse B,San Jose,Ship,Jaya Briggs,02/06/2021,30/06/2021
Warehouse C,Boston,Ship,Kieran Arroyo,28/06/2021,26/07/2021
Warehouse F,San Jose,Road,Georgie Fox,10/07/2021,07/08/2021
Warehouse D,New York,Road,Ollie Lewis,24/05/2021,21/06/2021
Warehouse F,San Jose,Road,Jay Ferguson,09/05/2021,06/06/2021
Warehouse A,Birmingham,Road,Sienna Hughes,11/06/2021,09/07/2021
Warehouse B,San Jose,Road,Tatiana Barlow,03/07/2021,31/07/2021
Warehouse C,Boston,Road,Jaime Adams,12/05/2021,09/06/2021
Warehouse F,San Jose,Road,Leighton Moss,09/06/2021,07/07/2021
Warehouse D,New York,Road,Juliet Merritt,18/05/2021,15/06/2021
Warehouse F,San Jose,Road,Mason Preston,11/06/2021,09/07/2021
Warehouse A,Birmingham,Road,Taha Mckee,26/06/2021,24/07/2021
Warehouse B,San Jose,Road,Levi Waters,22/05/2021,19/06/2021
Warehouse C,Boston,Road,Eliza Rangel,03/11/2019,01/12/2019
Warehouse F,San Jose,Road,Lara Hardy,03/07/2021,31/07/2021
Warehouse D,New York,Road,Sasha Hunt,14/05/2021,11/06/2021
Warehouse F,San Jose,Road,Callan Parrish,17/05/2021,14/06/2021
Warehouse A,Birmingham,Road,Aidan Bishop,02/05/2021,30/05/2021
Warehouse B,San Jose,Road,Rayhan Montes,28/03/2021,25/04/2021
Warehouse C,Boston,Road,Tia Oconnor,01/07/2021,29/07/2021
Warehouse F,San Jose,Road,Dante Roth,30/06/2021,28/07/2021
Warehouse D,New York,Road,Sana Smith,03/07/2021,31/07/2021
Warehouse F,San Jose,Road,Safa Benton,08/06/2021,06/07/2021
Warehouse A,Birmingham,Road,Faith Watson,11/05/2021,08/06/2021
Warehouse B,San Jose,Air,Terry Mitchell,22/06/2021,20/07/2021
Warehouse C,Boston,Air,Liberty Dunlap,19/06/2021,17/07/2021
Warehouse F,San Jose,Air,Elena Herman,15/05/2021,12/06/2021
Warehouse D,New York,Air,Rebekah Wright,09/07/2018,06/08/2018
Warehouse F,San Jose,Air,Sian Lester,11/04/2021,09/05/2021
Warehouse A,Birmingham,Air,Sydney Wyatt,09/07/2021,06/08/2021
Warehouse B,San Jose,Air,Jordan Bush,11/06/2021,09/07/2021
Warehouse C,Boston,Air,Spencer Simpson,10/07/2021,07/08/2021
Warehouse F,San Jose,Air,Meredith Parks,12/06/2021,10/07/2021
Warehouse D,New York,Air,Malik Fleming,10/07/2021,07/08/2021
Warehouse F,San Jose,Air,Taylor Romero,10/07/2021,07/08/2021
Warehouse A,Birmingham,Air,Colby Rodriguez,12/05/2021,09/06/2021
Warehouse B,San Jose,Air,Jan Blankenship,30/06/2021,28/07/2021
Warehouse C,Boston,Air,Phoenix James,10/07/2021,07/08/2021
Warehouse F,San Jose,Air,Courtney Mays,10/07/2021,07/08/2021
Warehouse D,New York,Air,Darcey Hurst,10/07/2021,07/08/2021
Warehouse F,San Jose,Air,Sion Doherty,08/06/2021,06/07/2021
Warehouse A,Birmingham,Air,Jayden Franklin,30/07/2021,27/08/2021
Warehouse B,San Jose,Air,Kacie Trujillo,09/06/2021,07/07/2021
Warehouse C,Boston,Air,Kelly Mccann,10/06/2021,08/07/2021
Warehouse F,San Jose,Air,Ellis Kaufman,21/06/2021,19/07/2021
Warehouse D,New York,Air,Nevaeh Gilmore,30/05/2021,27/06/2021
Warehouse F,San Jose,Ship,Leslie Blackburn,26/03/2021,23/04/2021
Warehouse A,Birmingham,Ship,Hayden Oliver,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Tyler Bruce,26/06/2021,24/07/2021
Warehouse C,Boston,Ship,Hope Horn,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Rio Hamilton,26/06/2021,24/07/2021
Warehouse D,New York,Ship,Jose Stevenson,21/06/2021,19/07/2021
Warehouse F,San Jose,Ship,Bryn Sherman,17/05/2021,14/06/2021
Warehouse A,Birmingham,Ship,Seren Wiley,12/06/2021,10/07/2021
Warehouse B,San Jose,Ship,Gabriel Winter,19/06/2021,17/07/2021
Warehouse C,Boston,Ship,Rowan Hayes,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Alexis Rojas,10/07/2021,07/08/2021
Warehouse D,New York,Ship,Stella Jacobson,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Remi Levine,21/06/2021,19/07/2021
Warehouse A,Birmingham,Ship,Darcy Perkins,24/06/2021,22/07/2021
Warehouse B,San Jose,Ship,Harmony Copeland,14/05/2021,11/06/2021
Warehouse C,Boston,Ship,Evangeline Reynolds,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Madison Meadows,15/06/2021,13/07/2021
Warehouse D,New York,Ship,Jenna Castro,17/08/2021,14/09/2021
Warehouse F,San Jose,Ship,Alfie Shields,10/07/2021,07/08/2021
Warehouse A,Birmingham,Ship,Sam Osborne,10/06/2021,08/07/2021
Warehouse B,San Jose,Ship,Kane Doyle,14/06/2021,12/07/2021
Warehouse C,Boston,Ship,Ada Gordon,08/04/2021,06/05/2021
Warehouse F,San Jose,Ship,Elijah Heath,10/07/2021,07/08/2021
Warehouse D,New York,Ship,Ines Higgins,29/07/2021,26/08/2021
Warehouse F,San Jose,Ship,Everly Montoya,14/06/2021,12/07/2021
Warehouse A,Birmingham,Ship,Kian Burke,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Saba Dickerson,10/07/2021,07/08/2021
Warehouse C,Boston,Ship,Sidney Baxter,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Tegan Ibarra,10/07/2021,07/08/2021
Warehouse D,New York,Ship,Eden Mclean,11/04/2021,09/05/2021
Warehouse F,San Jose,Ship,Charley Short,05/06/2021,03/07/2021
Warehouse A,Birmingham,Ship,Ebony Pineda,21/06/2021,19/07/2021
Warehouse B,San Jose,Ship,Wyatt Michael,10/06/2021,08/07/2021
Warehouse C,Boston,Ship,Marion Blair,28/04/2021,26/05/2021
Warehouse F,San Jose,Ship,Shelby Roach,03/05/2021,31/05/2021
Warehouse D,New York,Ship,Ciaran Ellis,22/09/2021,20/10/2021
Warehouse F,San Jose,Ship,Kelsey Wall,26/07/2021,23/08/2021
Warehouse A,Birmingham,Ship,Keziah Harper,22/06/2021,20/07/2021
Warehouse B,San Jose,Ship,Carter Ortega,10/07/2021,07/08/2021
Warehouse C,Boston,Ship,Joel Joyce,22/05/2021,19/06/2021
Warehouse F,San Jose,Ship,Kyan Fields,07/07/2021,04/08/2021
Warehouse D,New York,Ship,Jean Mccoy,10/06/2021,08/07/2021
Warehouse F,San Jose,Ship,Armaan Kane,18/06/2021,16/07/2021
Warehouse A,Birmingham,Ship,Mckenzie Hobbs,26/06/2021,24/07/2021
Warehouse B,San Jose,Ship,Felix Snow,25/06/2021,23/07/2021
Warehouse C,Boston,Ship,Kira Burgess,22/07/2021,19/08/2021
Warehouse F,San Jose,Ship,Kobi Gentry,01/07/2021,29/07/2021
Warehouse D,New York,Ship,Katerina Buck,27/05/2021,24/06/2021
Warehouse F,San Jose,Ship,Macy Norris,10/07/2021,07/08/2021
Warehouse A,Birmingham,Ship,Cordelia Young,03/05/2021,31/05/2021
Warehouse B,San Jose,Ship,Bailey Morrison,02/06/2021,30/06/2021
Warehouse C,Boston,Ship,Jorge Vincent,08/07/2021,05/08/2021
Warehouse F,San Jose,Ship,Syed Gonzales,23/05/2021,20/06/2021
Warehouse D,New York,Ship,Aiden Haas,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Jaya Briggs,14/07/2021,11/08/2021
Warehouse A,Birmingham,Ship,Kieran Arroyo,04/07/2021,01/08/2021
Warehouse B,San Jose,Ship,Georgie Fox,14/05/2021,11/06/2021
Warehouse C,Boston,Ship,Ollie Lewis,15/07/2021,12/08/2021
Warehouse F,San Jose,Ship,Jay Ferguson,21/07/2021,18/08/2021
Warehouse D,New York,Ship,Sienna Hughes,25/06/2021,23/07/2021
Warehouse F,San Jose,Ship,Tatiana Barlow,15/06/2021,13/07/2021
Warehouse A,Birmingham,Ship,Jaime Adams,26/08/2021,23/09/2021
Warehouse B,San Jose,Ship,Leighton Moss,27/05/2021,24/06/2021
Warehouse C,Boston,Ship,Juliet Merritt,21/04/2021,19/05/2021
Warehouse F,San Jose,Ship,Mason Preston,19/07/2021,16/08/2021
Warehouse D,New York,Ship,Taha Mckee,22/06/2021,20/07/2021
Warehouse F,San Jose,Ship,Levi Waters,10/07/2021,07/08/2021
Warehouse A,Birmingham,Ship,Eliza Rangel,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Lara Hardy,24/07/2021,21/08/2021
Warehouse C,Boston,Ship,Sasha Hunt,23/06/2021,21/07/2021
Warehouse F,San Jose,Ship,Callan Parrish,12/06/2021,10/07/2021
Warehouse D,New York,Ship,Aidan Bishop,18/07/2021,15/08/2021
Warehouse F,San Jose,Ship,Rayhan Montes,19/06/2021,17/07/2021
Warehouse A,Birmingham,Ship,Tia Oconnor,10/07/2021,07/08/2021
Warehouse B,San Jose,Ship,Dante Roth,09/06/2021,07/07/2021
Warehouse C,Boston,Ship,Sana Smith,12/06/2021,10/07/2021
Warehouse F,San Jose,Ship,Safa Benton,17/06/2021,15/07/2021
Warehouse D,New York,Ship,Faith Watson,01/08/2021,29/08/2021
Warehouse F,San Jose,Ship,Terry Mitchell,17/06/2021,15/07/2021
Warehouse A,Birmingham,Ship,Liberty Dunlap,18/06/2021,16/07/2021
Warehouse B,San Jose,Ship,Elena Herman,19/06/2021,17/07/2021
Warehouse C,Boston,Ship,Rebekah Wright,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Sian Lester,29/07/2021,26/08/2021
Warehouse D,New York,Ship,Sydney Wyatt,25/06/2021,23/07/2021
Warehouse F,San Jose,Ship,Jordan Bush,14/06/2021,12/07/2021
Warehouse A,Birmingham,Ship,Spencer Simpson,29/08/2021,26/09/2021
Warehouse B,San Jose,Ship,Meredith Parks,19/07/2021,16/08/2021
Warehouse C,Boston,Ship,Malik Fleming,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Taylor Romero,29/06/2021,27/07/2021
Warehouse D,New York,Ship,Colby Rodriguez,10/07/2021,07/08/2021
Warehouse F,San Jose,Ship,Jan Blankenship,24/07/2021,21/08/2021
Warehouse A,Birmingham,Ship,Phoenix James,14/07/2021,11/08/2021
Warehouse B,San Jose,Ship,Courtney Mays,25/06/2021,23/07/2021
Warehouse C,Boston,Road,Darcey Hurst,13/06/2021,11/07/2021
Warehouse F,San Jose,Road,Sion Doherty,10/07/2021,07/08/2021
Warehouse D,New York,Road,Jayden Franklin,29/06/2021,27/07/2021
Warehouse F,San Jose,Road,Kacie Trujillo,04/08/2021,01/09/2021
Warehouse A,Birmingham,Road,Kelly Mccann,03/07/2021,31/07/2021
Warehouse B,San Jose,Road,Ellis Kaufman,30/09/2021,28/10/2021
Warehouse C,Boston,Road,Nevaeh Gilmore,04/06/2021,02/07/2021
Warehouse F,San Jose,Road,Leslie Blackburn,30/06/2021,28/07/2021
Warehouse D,New York,Road,Hayden Oliver,13/04/2021,11/05/2021
Warehouse F,San Jose,Road,Tyler Bruce,16/05/2021,13/06/2021
Warehouse A,Birmingham,Road,Hope Horn,27/06/2021,25/07/2021
Warehouse B,San Jose,Road,Rio Hamilton,15/07/2021,12/08/2021
Warehouse C,Boston,Road,Jose Stevenson,03/07/2021,31/07/2021
Warehouse F,San Jose,Road,Bryn Sherman,28/08/2021,25/09/2021
Warehouse D,New York,Road,Seren Wiley,04/08/2021,01/09/2021
Warehouse F,San Jose,Road,Gabriel Winter,03/07/2021,31/07/2021
Warehouse A,Birmingham,Road,Rowan Hayes,01/06/2021,29/06/2021
Warehouse B,San Jose,Road,Alexis Rojas,02/07/2021,30/07/2021
Warehouse C,Boston,Road,Stella Jacobson,26/06/2021,24/07/2021
Warehouse F,San Jose,Road,Remi Levine,12/09/2021,10/10/2021
Warehouse D,New York,Road,Darcy Perkins,06/07/2021,03/08/2021
Warehouse F,San Jose,Road,Harmony Copeland,11/08/2021,08/09/2021
Warehouse A,Birmingham,Air,Evangeline Reynolds,02/07/2021,30/07/2021
Warehouse B,San Jose,Air,Madison Meadows,28/06/2021,26/07/2021
Warehouse C,Boston,Air,Jenna Castro,10/07/2021,07/08/2021
Warehouse F,San Jose,Air,Alfie Shields,10/07/2021,07/08/2021
Warehouse D,New York,Air,Sam Osborne,30/04/2021,28/05/2021
Warehouse F,San Jose,Air,Kane Doyle,13/08/2021,10/09/2021
Warehouse A,Birmingham,Air,Ada Gordon,10/07/2021,07/08/2021
Warehouse B,San Jose,Air,Elijah Heath,16/06/2021,14/07/2021
Warehouse C,Boston,Air,Ines Higgins,03/06/2021,01/07/2021
Warehouse F,San Jose,Air,Everly Montoya,23/07/2021,20/08/2021
Warehouse D,New York,Air,Kian Burke,10/08/2021,07/09/2021
Warehouse F,San Jose,Air,Saba Dickerson,02/05/2021,30/05/2021
Warehouse A,Birmingham,Air,Sidney Baxter,03/06/2021,01/07/2021
Warehouse B,San Jose,Air,Tegan Ibarra,04/08/2021,01/09/2021
Warehouse C,Boston,Air,Eden Mclean,12/04/2021,10/05/2021
Warehouse F,San Jose,Air,Charley Short,02/07/2021,30/07/2021
Warehouse D,New York,Air,Ebony Pineda,18/07/2021,15/08/2021
Warehouse F,San Jose,Air,Wyatt Michael,17/06/2021,15/07/2021
Warehouse A,Birmingham,Air,Marion Blair,25/06/2021,23/07/2021
Warehouse B,San Jose,Air,Shelby Roach,28/08/2021,25/09/2021
Warehouse C,Boston,Air,Jerry Mueller,29/07/2021,26/08/2021
Warehouse F,San Jose,Air,Corey Cline,08/07/2021,05/08/2021
Warehouse D,New York,Ship,Rio Morrow,18/06/2021,16/07/2021
Warehouse F,San Jose,Ship,Jaden Watson,04/08/2021,01/09/2021
Warehouse A,Birmingham,Ship,Lenny Page,07/07/2021,04/08/2021
Warehouse B,San Jose,Ship,Ellis Burnett,12/07/2021,09/08/2021
Warehouse C,Boston,Ship,Maddison Ferrell,21/06/2021,19/07/2021
Warehouse F,San Jose,Ship,Dylan Briggs,26/06/2021,24/07/2021
Warehouse D,New York,Ship,Vivian Wade,15/06/2021,13/07/2021
Warehouse F,San Jose,Ship,Neo Welsh,04/08/2021,01/09/2021
Warehouse A,Birmingham,Ship,Sydney Miranda,10/06/2021,08/07/2021
Warehouse B,San Jose,Ship,Malik Rose,29/07/2021,26/08/2021
Warehouse C,Boston,Ship,Eliza Blaese,29/07/2021,26/08/2021
Warehouse F,San Jose,Ship,Stevie Long,19/09/2021,17/10/2021
Warehouse D,New York,Ship,Jay Bowen,26/03/2021,23/04/2021
Warehouse F,San Jose,Ship,Claire Wilkinson,26/06/2021,24/07/2021
Warehouse A,Birmingham,Ship,Julia Jefferson,29/07/2021,26/08/2021
Warehouse B,San Jose,Ship,Stella Herrera,04/08/2021,01/09/2021
Warehouse C,Boston,Ship,Esme Sandoval,04/06/2021,02/07/2021
Warehouse F,San Jose,Ship,Casey Park,25/07/2021,22/08/2021
Warehouse D,New York,Ship,Francis Riggs,04/08/2021,01/09/2021
Warehouse F,San Jose,Ship,Meredith Buckley,02/09/2021,30/09/2021
